OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu004492,8,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu004495,6,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydia
Otu004497,6,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004498,4,Bacteria,Acidobacteria,Acidobacteria_Gp25,Acidobacteria_Gp25_order_incertae_sedis,Acidobacteria_Gp25_family_incertae_sedis,Gp25
Otu004500,5,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu004505,4,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter
Otu004510,8,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu004522,10,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix
Otu004525,5,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004544,4,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004548,8,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
Otu004559,12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu004562,5,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004577,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004579,5,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004587,4,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
Otu004594,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004610,7,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004624,11,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu004639,3,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified
Otu004640,5,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004647,36,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004654,4,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu004658,6,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu004669,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004698,6,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu004704,7,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
