OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu000001,109413,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified
Otu000002,95307,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu000003,50611,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified,unclassified
Otu000004,69737,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu000005,42760,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unclassified
Otu000006,15914,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000007,22595,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unclassified
Otu000008,33563,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000009,9185,Bacteria,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
Otu000010,10446,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,unclassified
Otu000011,23563,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu000012,18035,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000013,25318,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000014,11940,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis_class_incertae_sedis,Bacteroidetes_incertae_sedis_order_incertae_sedis,Bacteroidetes_incertae_sedis_family_incertae_sedis,Ohtaekwangia
Otu000015,7513,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu000016,5473,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,unclassified
Otu000017,4773,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Otu000018,6042,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,unclassified,unclassified
Otu000019,3988,Bacteria,Acidobacteria,Acidobacteria_Gp6,Acidobacteria_Gp6_order_incertae_sedis,Acidobacteria_Gp6_family_incertae_sedis,Gp6
Otu000020,5220,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu000021,15151,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000022,6497,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu000023,3919,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000024,4300,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,unclassified
Otu000025,8190,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu000026,4488,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000027,6201,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu000028,5608,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,unclassified
Otu000029,4190,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000030,3791,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu000031,4904,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter
Otu000032,3226,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,unclassified
Otu000033,4085,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Otu000034,1781,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydia
Otu000035,1297,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Otu000036,4815,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Shinella
Otu000037,1741,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu000038,1905,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000039,3438,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000040,1744,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu000041,975,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000042,1499,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unclassified
Otu000043,1991,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000044,2515,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia
Otu000045,6321,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unclassified
Otu000046,30755,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000047,1986,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus
Otu000048,2304,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,unclassified
Otu000049,1663,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000050,1055,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000051,4550,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Otu000052,1176,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16
Otu000053,2754,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000054,1229,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000055,1771,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified
Otu000056,5408,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000057,1171,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
Otu000058,1530,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000059,1348,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Thermoactinomyces
Otu000060,32440,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000061,1110,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
Otu000062,1826,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000063,2125,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000064,771,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000065,632,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000066,924,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000067,1615,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000068,1294,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000069,1142,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,unclassified
Otu000070,1527,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000071,1598,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000072,1475,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000073,1809,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000074,801,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000075,574,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000076,853,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Zavarzinella
Otu000077,711,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000078,2525,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000079,388,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_III
Otu000080,1907,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Otu000081,3381,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000082,476,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu000083,562,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000084,586,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000085,656,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu000086,1667,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000087,2043,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000088,1665,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000089,642,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000090,1228,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces
Otu000091,1233,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16
Otu000092,818,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
Otu000093,759,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu000094,1166,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified
Otu000095,503,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000096,320,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000097,460,Bacteria,Verrucomicrobia,Subdivision3,Subdivision3_order_incertae_sedis,Subdivision3_family_incertae_sedis,3_genus_incertae_sedis
Otu000098,497,Bacteria,Verrucomicrobia,Subdivision3,Subdivision3_order_incertae_sedis,Subdivision3_family_incertae_sedis,3_genus_incertae_sedis
Otu000099,359,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000100,708,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Otu000101,644,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu000102,379,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000103,1225,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000104,667,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella
Otu000105,679,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu000106,469,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000107,1304,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Dyadobacter
Otu000108,2365,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000109,525,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000110,559,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Enhygromyxa
Otu000111,972,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Otu000112,371,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,unclassified,unclassified
Otu000113,413,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Otu000114,721,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium_XI
Otu000115,3422,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000116,436,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000117,1792,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
Otu000118,247,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000119,463,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
Otu000120,433,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000121,459,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Schlesneria
Otu000122,559,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000123,871,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified
Otu000124,311,Bacteria,Chloroflexi,unclassified,unclassified,unclassified,unclassified
Otu000125,246,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000126,627,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000127,308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu000128,472,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium
Otu000129,693,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000130,631,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium
Otu000131,288,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified
Otu000132,926,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
Otu000133,292,Bacteria,Acidobacteria,Acidobacteria_Gp10,Acidobacteria_Gp10_order_incertae_sedis,Acidobacteria_Gp10_family_incertae_sedis,Gp10
Otu000134,793,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Otu000135,341,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000136,359,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu000137,2697,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000138,973,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu000139,876,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Rhizobacter
Otu000140,259,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu000141,364,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000142,365,Bacteria,Actinobacteria,Actinobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
Otu000143,497,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000144,2086,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000145,772,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu000146,495,Bacteria,BRC1,BRC1_class_incertae_sedis,BRC1_order_incertae_sedis,BRC1_family_incertae_sedis,BRC1_genera_incertae_sedis
Otu000147,757,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000148,222,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu000149,453,Bacteria,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
Otu000150,613,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
Otu000151,241,Bacteria,Acidobacteria,Acidobacteria_Gp17,Acidobacteria_Gp17_order_incertae_sedis,Acidobacteria_Gp17_family_incertae_sedis,Gp17
Otu000152,467,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter
Otu000153,455,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000154,424,Bacteria,Nitrospira,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
Otu000155,312,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu000156,341,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000157,230,Bacteria,Acidobacteria,Acidobacteria_Gp3,Acidobacteria_Gp3_order_incertae_sedis,Acidobacteria_Gp3_family_incertae_sedis,Gp3
Otu000158,357,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000159,181,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000160,484,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,unclassified
Otu000161,588,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000162,544,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000163,511,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000164,303,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu000165,313,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000166,419,Bacteria,Chloroflexi,unclassified,unclassified,unclassified,unclassified
Otu000167,247,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_order_incertae_sedis,Alphaproteobacteria_family_incertae_sedis,Rhizomicrobium
Otu000168,229,Bacteria,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
Otu000169,434,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Otu000170,538,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000171,227,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,unclassified,unclassified
Otu000172,241,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000173,322,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000174,198,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira
Otu000175,215,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea
Otu000176,264,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Stackebrandtia
Otu000177,358,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000178,215,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified
Otu000179,242,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified,unclassified
Otu000180,154,Bacteria,Verrucomicrobia,unclassified,unclassified,unclassified,unclassified
Otu000181,1032,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000182,495,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000183,239,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Otu000184,438,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000185,196,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000186,177,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000187,316,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola
Otu000188,225,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,unclassified,unclassified
Otu000189,3037,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000190,153,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000191,170,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000192,2569,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000193,150,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000194,230,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000195,232,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified
Otu000196,152,Bacteria,Verrucomicrobia,unclassified,unclassified,unclassified,unclassified
Otu000197,285,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000198,1195,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Otu000199,182,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000200,815,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
Otu000201,157,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
Otu000202,200,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000203,372,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified
Otu000204,157,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Otu000205,360,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000206,505,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu000207,126,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000208,145,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu000209,249,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000210,230,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000211,413,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000212,137,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Zavarzinella
Otu000213,124,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu000214,153,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu000215,285,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000216,147,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000217,146,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000218,135,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000219,174,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000220,224,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000221,193,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000222,173,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000223,286,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Kofleria
Otu000224,342,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000225,365,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania
Otu000226,206,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000227,148,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000228,234,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia
Otu000229,132,Bacteria,Acidobacteria,Acidobacteria_Gp3,Acidobacteria_Gp3_order_incertae_sedis,Acidobacteria_Gp3_family_incertae_sedis,Gp3
Otu000230,123,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000231,194,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000232,156,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000233,100,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000234,129,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000235,199,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,unclassified
Otu000236,470,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000237,151,Bacteria,Acidobacteria,Acidobacteria_Gp3,Acidobacteria_Gp3_order_incertae_sedis,Acidobacteria_Gp3_family_incertae_sedis,Gp3
Otu000238,184,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000239,159,Bacteria,Actinobacteria,Actinobacteria,Thermoleophilales,Thermoleophilaceae,Thermoleophilum
Otu000240,136,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter
Otu000241,293,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000242,238,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000243,188,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,unclassified
Otu000244,94,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000245,629,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000246,187,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000247,86,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000248,112,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu000249,111,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000250,138,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Pontibacter
Otu000251,182,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Otu000252,116,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,unclassified,unclassified
Otu000253,146,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000254,375,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
